1;50;100;0;15
2;100;200;100;15
3;200;400;200;15
4;300;600;300;15
Break;20;;;
5;400;800;400;15
6;500;1000;500;15
7;600;1200;600;15
8;800;1600;800;15
Break;20;;;
9;1000;2000;1000;15
10;1200;2400;1200;15
11;1500;3000;1500;15
12;2000;4000;2000;15
Break;20;;;
13;2500;5000;2500;15
14;3000;6000;3000;15
15;4000;8000;4000;15
16;5000;10000;5000;15
Break;20;;;
17;6000;12000;6000;15
18;8000;16000;8000;15
19;10000;20000;10000;15
20;12000;24000;12000;15
21;15000;30000;15000;15
22;15000;30000;15000;15
23;15000;30000;15000;15
24;15000;30000;15000;15
25;15000;30000;15000;15
25;15000;30000;15000;15
25;15000;30000;15000;15
